Transportista,Patente,Date,bajo,medio,alto,distance,raev,dev
Coseducam,TBYZ88,2024-10-18,6.2,8.2,10.3,528.1271759495856,9.557636307233482,6.051749448293459
Coseducam,RPCJ35,2024-10-18,6.2,8.2,10.3,126.9643317862552,0.5854396200557876,0.4406221416881809
Coseducam,SHXC68,2024-10-18,6.2,8.2,10.3,257.4509525675636,5.654006159225748,3.493051519273935
Coseducam,TJRF23,2024-10-18,6.2,8.2,10.3,266.73420929681663,3.5118829857798817,2.177625980073186
Coseducam,TBGK53,2024-10-18,6.2,8.2,10.3,530.5313091936122,25.559170834014225,16.663769931665733
Vía Carrión,TLZL35,2024-10-18,6.2,8.2,10.3,526.4767596257751,10.032932443124174,6.2196588245576905
Coseducam,TCSV81,2024-10-18,6.2,8.2,10.3,541.2051085836088,12.059808585688536,8.176886280163457
Coseducam,TFYH22,2024-10-18,6.2,8.2,10.3,323.0480534350672,11.403772200143454,6.998537856244777
Coseducam,SKTL81,2024-10-18,6.2,8.2,10.3,488.7797160160826,9.607496947921591,6.113806737753083
Coseducam,SKPK78,2024-10-18,6.2,8.2,10.3,340.5508587857631,14.815451122809739,9.357209767840716
Coseducam,RLWB42,2024-10-18,6.2,8.2,10.3,448.727201445534,12.042730710800688,7.994131192021975
Coseducam,TBRS43,2024-10-18,6.2,8.2,10.3,519.631417497948,21.50540097991129,13.248332786250575
Coseducam,TFHH29,2024-10-18,6.2,8.2,10.3,683.1962522873166,14.438222657550828,9.282215573739961
Coseducam,SXSW79,2024-10-18,6.2,8.2,10.3,525.0109629717107,14.491700227209535,9.084574515218206
Coseducam,SLXY12,2024-10-18,6.2,8.2,10.3,451.6452315885344,22.74867246876109,13.049424228754086
Coseducam,TJPH87,2024-10-18,6.2,8.2,10.3,525.6618262283401,12.341817062826605,7.33345140823404
Coseducam,TCGX23,2024-10-18,6.2,8.2,10.3,647.8724828894483,23.58297612763976,14.369303115797017
Coseducam,TJYV60,2024-10-18,6.2,8.2,10.3,548.4828707630644,8.376895638987039,5.129529854806867
Coseducam,TFYH20,2024-10-18,6.2,8.2,10.3,519.7734419687188,6.768410837873438,4.299412549490149
